"google_dir","layer_top","layer_bot","layer_mid","time_series","layers","var_n","avg","min","max"
"BNZ3",9,5,NA,"NO","NO",1,27.5,27.5,27.5
"BNZ3",9.5,1,NA,"NO","NO",1,29.8,29.8,29.8
"BNZ3",9.5,9,NA,"NO","NO",1,8.2,8.2,8.2
"BNZ3",10,0,NA,"NO","NO",2,41.5,41.2,41.7
"BNZ3",10,0.25,NA,"NO","NO",1,43.8,43.8,43.8
"BNZ3",10,0.5,NA,"NO","NO",3,28.2,23.6,33.7
"BNZ3",10,9.5,NA,"NO","NO",1,14.6,14.6,14.6
"BNZ3",10.5,3,NA,"NO","NO",1,25.4,25.4,25.4
"BNZ3",10.5,10,NA,"NO","NO",1,19.8,19.8,19.8
"BNZ3",11,1,NA,"NO","NO",1,43.1,43.1,43.1
"BNZ3",11,5,NA,"NO","NO",1,28.3,28.3,28.3
"BNZ3",11.5,1,NA,"NO","NO",1,45.1,45.1,45.1
"BNZ3",11.5,11,NA,"NO","NO",1,37.4,37.4,37.4
"BNZ3",12,0,NA,"NO","NO",1,41.3,41.3,41.3
"BNZ3",12,1,NA,"NO","NO",4,33.8,23.8,38.3
"BNZ3",12,2,NA,"NO","NO",1,46,46,46
"BNZ3",12,4,NA,"NO","NO",1,39.9,39.9,39.9
"BNZ3",12,7,NA,"NO","NO",1,34.7,34.7,34.7
"BNZ3",12,8,NA,"NO","NO",1,42,42,42
"BNZ3",12,11.5,NA,"NO","NO",1,19.3,19.3,19.3
"BNZ3",12.5,2,NA,"NO","NO",1,28.1,28.1,28.1
"BNZ3",13,1,NA,"NO","NO",1,35.4,35.4,35.4
"BNZ3",13,2,NA,"NO","NO",1,31.2,31.2,31.2
"BNZ3",13,3,NA,"NO","NO",2,41.9,40.4,43.4
"BNZ3",13,7,NA,"NO","NO",1,45.6,45.6,45.6
"BNZ3",13.5,0.5,NA,"NO","NO",1,29.7,29.7,29.7
"BNZ3",14,0,NA,"NO","NO",3,34.1,29.6,42.6
"BNZ3",14,1,NA,"NO","NO",2,40.6,39.8,41.5
"BNZ3",14,3,NA,"NO","NO",1,36.5,36.5,36.5
"BNZ3",14,3.5,NA,"NO","NO",1,37,37,37
"BNZ3",14,4,NA,"NO","NO",1,38.4,38.4,38.4
"BNZ3",14,7,NA,"NO","NO",1,45.3,45.3,45.3
"BNZ3",14,12,NA,"NO","NO",1,47.1,47.1,47.1
"BNZ3",15,1,NA,"NO","NO",1,36.9,36.9,36.9
"BNZ3",15,2,NA,"NO","NO",2,28.8,28.7,28.8
"BNZ3",15,7,NA,"NO","NO",1,38.6,38.6,38.6
"BNZ3",15,10,NA,"NO","NO",1,22.3,22.3,22.3
"BNZ3",15.5,5.5,NA,"NO","NO",1,32.9,32.9,32.9
"BNZ3",16,0,NA,"NO","NO",1,44.8,44.8,44.8
"BNZ3",16,1,NA,"NO","NO",1,30.1,30.1,30.1
"BNZ3",16,2,NA,"NO","NO",7,35.6,26.4,40.4
"BNZ3",16,3,NA,"NO","NO",1,30.8,30.8,30.8
"BNZ3",16,8,NA,"NO","NO",1,43.5,43.5,43.5
"BNZ3",17,0,NA,"NO","NO",1,35.2,35.2,35.2
"BNZ3",17,3,NA,"NO","NO",3,40.8,40.3,41.9
"BNZ3",17,3.5,NA,"NO","NO",1,30,30,30
"BNZ3",17,4,NA,"NO","NO",2,40.2,39,41.5
"BNZ3",17,7,NA,"NO","NO",1,39.6,39.6,39.6
"BNZ3",17,11,NA,"NO","NO",1,14.1,14.1,14.1
"BNZ3",17,12,NA,"NO","NO",2,25.5,23.4,27.7
"BNZ3",18,2,NA,"NO","NO",3,35.7,28.1,41
"BNZ3",18,3,NA,"NO","NO",1,27.4,27.4,27.4
"BNZ3",18,4,NA,"NO","NO",1,41.7,41.7,41.7
"BNZ3",18,8,NA,"NO","NO",1,46.1,46.1,46.1
"BNZ3",19,2,NA,"NO","NO",4,38.5,35.9,42
"BNZ3",19,2.5,NA,"NO","NO",1,41.6,41.6,41.6
"BNZ3",19,3,NA,"NO","NO",1,43.8,43.8,43.8
"BNZ3",19,4,NA,"NO","NO",1,23.3,23.3,23.3
"BNZ3",19,9,NA,"NO","NO",1,45.7,45.7,45.7
"BNZ3",19,14,NA,"NO","NO",3,28.2,21.2,41.2
"BNZ3",20,0,NA,"NO","NO",1,31.2,31.2,31.2
"BNZ3",20,1,NA,"NO","NO",1,23.2,23.2,23.2
"BNZ3",20,2,NA,"NO","NO",3,29,24.7,32.6
"BNZ3",20,3,NA,"NO","NO",1,45.2,45.2,45.2
"BNZ3",20,5,NA,"NO","NO",1,39,39,39
"BNZ3",20,10,NA,"NO","NO",1,39.6,39.6,39.6
"BNZ3",20,13,NA,"NO","NO",1,36.3,36.3,36.3
"BNZ3",20.5,0,NA,"NO","NO",1,46.5,46.5,46.5
"BNZ3",21,2,NA,"NO","NO",1,46.5,46.5,46.5
"BNZ3",21,4,NA,"NO","NO",1,39.6,39.6,39.6
"BNZ3",21,5,NA,"NO","NO",1,46.6,46.6,46.6
"BNZ3",21,7,NA,"NO","NO",1,47.4,47.4,47.4
"BNZ3",21,16,NA,"NO","NO",1,37.9,37.9,37.9
"BNZ3",22,2,NA,"NO","NO",2,32.9,31.2,34.6
"BNZ3",22,3,NA,"NO","NO",2,44.3,43.6,45.1
"BNZ3",22,4,NA,"NO","NO",2,42.9,42.8,43
"BNZ3",22,5,NA,"NO","NO",3,38.6,31,44.6
"BNZ3",22,14,NA,"NO","NO",1,27.4,27.4,27.4
"BNZ3",22,17,NA,"NO","NO",2,25.9,24.1,27.6
"BNZ3",22.5,18,NA,"NO","NO",1,42.4,42.4,42.4
"BNZ3",23,2,NA,"NO","NO",2,38.1,28.6,47.8
"BNZ3",23,3,NA,"NO","NO",4,43.6,37.8,45.6
"BNZ3",23,4,NA,"NO","NO",3,42.5,40.3,44.6
"BNZ3",23,7.5,NA,"NO","NO",1,40.2,40.2,40.2
"BNZ3",23,8.5,NA,"NO","NO",1,43,43,43
"BNZ3",23.5,5.5,NA,"NO","NO",1,20.9,20.9,20.9
"BNZ3",24,3,NA,"NO","NO",2,41.9,37.1,46.7
"BNZ3",24,4,NA,"NO","NO",2,44.3,43.2,45.3
"BNZ3",24,5,NA,"NO","NO",2,32.2,22.4,42
"BNZ3",24,19,NA,"NO","NO",1,22.8,22.8,22.8
"BNZ3",25,2,NA,"NO","NO",2,44,42.9,45.2
"BNZ3",25,3,NA,"NO","NO",1,45.5,45.5,45.5
"BNZ3",25,5,NA,"NO","NO",1,48.4,48.4,48.4
"BNZ3",25,6,NA,"NO","NO",1,37.6,37.6,37.6
"BNZ3",25,7,NA,"NO","NO",2,41.6,40.2,43
"BNZ3",25,7.5,NA,"NO","NO",1,41.3,41.3,41.3
"BNZ3",25,20,NA,"NO","NO",1,35.8,35.8,35.8
"BNZ3",25,22,NA,"NO","NO",1,32.9,32.9,32.9
"BNZ3",25.5,9,NA,"NO","NO",1,43.9,43.9,43.9
"BNZ3",26,3,NA,"NO","NO",2,28.1,26.3,29.8
"BNZ3",26,4,NA,"NO","NO",2,43.1,41.4,44.8
"BNZ3",26,6,NA,"NO","NO",1,43.4,43.4,43.4
"BNZ3",26,7,NA,"NO","NO",3,38.5,31,43.1
"BNZ3",26,21,NA,"NO","NO",2,37.3,36.2,38.4
"BNZ3",27,4,NA,"NO","NO",1,43.3,43.3,43.3
"BNZ3",27,5,NA,"NO","NO",2,41.9,39.4,44.4
"BNZ3",27,8,NA,"NO","NO",1,39.4,39.4,39.4
"BNZ3",27,21,NA,"NO","NO",1,38.6,38.6,38.6
"BNZ3",28,2,NA,"NO","NO",2,42.9,40.1,45.7
"BNZ3",28,5,NA,"NO","NO",2,42.6,41.1,44.1
"BNZ3",28,7,NA,"NO","NO",1,47.5,47.5,47.5
"BNZ3",28,12,NA,"NO","NO",1,43.5,43.5,43.5
"BNZ3",28,14,NA,"NO","NO",1,45.7,45.7,45.7
"BNZ3",28,16,NA,"NO","NO",1,32,32,32
"BNZ3",28,23,NA,"NO","NO",3,37.4,34.9,39.9
"BNZ3",29,3,NA,"NO","NO",1,47.9,47.9,47.9
"BNZ3",29,4,NA,"NO","NO",1,43.5,43.5,43.5
"BNZ3",29,7,NA,"NO","NO",1,33.3,33.3,33.3
"BNZ3",29,9,NA,"NO","NO",1,33.7,33.7,33.7
"BNZ3",29,24,NA,"NO","NO",2,35.1,32.8,37.4
"BNZ3",29,25,NA,"NO","NO",1,35.1,35.1,35.1
"BNZ3",30,4,NA,"NO","NO",1,41.5,41.5,41.5
"BNZ3",30,8,NA,"NO","NO",1,39,39,39
"BNZ3",30,10,NA,"NO","NO",1,38.7,38.7,38.7
"BNZ3",30,25,NA,"NO","NO",3,35.6,31.7,42.1
"BNZ3",30,28,NA,"NO","NO",1,36.3,36.3,36.3
"BNZ3",30.5,7,NA,"NO","NO",1,29.1,29.1,29.1
"BNZ3",30.5,8,NA,"NO","NO",1,41.5,41.5,41.5
"BNZ3",30.5,26,NA,"NO","NO",1,38.2,38.2,38.2
"BNZ3",31,7,NA,"NO","NO",1,47.4,47.4,47.4
"BNZ3",31,26,NA,"NO","NO",2,22.7,20.3,25.2
"BNZ3",31.5,28,NA,"NO","NO",1,36.1,36.1,36.1
"BNZ3",32,6,NA,"NO","NO",1,39.9,39.9,39.9
"BNZ3",32,27,NA,"NO","NO",1,36.8,36.8,36.8
